sigmaritan,energy,danceability,valence,tempo
alex_clefos,0.8366101635514018,0.5028754672897197,0.4057031542056075,128.82904322429906
andreea_covalevschi,0.7107569583052277,0.4496513069139966,0.4138973229342327,122.50001306913997
arina_coroliuc,0.5863460721311475,0.6101771366120218,0.45772343169398905,118.51807081967213
denis_smocvin,0.7420588818755636,0.5753564472497745,0.4421798016230839,123.83005320108207
eduard_balamatiuc,0.6238654303278688,0.677276400273224,0.4532971653005465,121.22415334699454
elena_timbur,0.6404105427872862,0.599622151589242,0.4829843520782396,120.3666205378973
irina_tiora,0.5221718589569161,0.5174972789115646,0.34685887528344667,119.5702172335601
lavinia_spinu,0.7805098039215685,0.5922156862745098,0.38973725490196076,125.03401960784313
marius_purici,0.642617658045977,0.6372370689655172,0.46823333333333333,120.44835632183907
marius_sclearuc,0.6669442796248934,0.48610021312872975,0.4042961210571185,123.61227578857628
nicolae_dubenco,0.6546910015826363,0.6849129550079132,0.4322735473660411,122.96514040244178
nicolae_gherman,0.6347785482931376,0.6151458697425142,0.4528231271117325,120.56050902947688
vasile_papaluta,0.7193807066734331,0.6249718599340268,0.46669803349403705,122.3557796244608
vlada_pulbere,0.48572698780487805,0.594991768292683,0.39476786585365853,117.2438512195122
vladimir_stojoc,0.45859692095949667,0.6211667322060558,0.34204121510027524,117.33509359024774
mean,0.6470310543227622,0.5859465561594329,0.4235676400891535,121.62621313446954
